line_code	Intcp_mean	Slope_mean	Intcp_para_adj	Intcp_para	Slope_para	R2_mean	R2_para
E52	1953.1026	0.8122	1953.1026	687.3937	3.0487	0.88	0.85
E53	1876.2129	1.3983	1876.2129	-339.7313	5.3375	0.98	0.98
E54	2092.9081	1.7627	2092.9081	-711.8687	6.7558	0.98	0.98
E55	1721.0228	0.469	1721.0228	983.5188	1.7764	0.98	0.96
E56	1817.9751	0.6929	1817.9751	736.4638	2.605	0.9	0.87
E57	1681.801	0.5627	1681.801	795.6651	2.1344	0.95	0.93
E58	1838.4407	0.6828	1838.4407	792.3185	2.5198	0.82	0.76
E59	1656.0646	0.3628	1656.0646	1078.6033	1.3909	0.92	0.92
E6	1891.7684	0.9522	1891.7684	380.4748	3.6402	0.99	0.99
E60	1921.9042	1.4994	1921.9042	-468.2066	5.757	0.96	0.97
E61	1993.7585	1.6467	1993.7585	-643.3326	6.3519	0.96	0.97
E62	1771.8165	0.8077	1771.8165	489.7748	3.088	0.97	0.97
E63	1940.2083	1.4904	1940.2083	-426.4495	5.7005	0.99	0.99
E64	1830.0196	1.2183	1830.0196	-103.5499	4.6574	0.99	0.99
E65	1838.0296	0.8434	1838.0296	504.6873	3.2116	0.99	0.98
E66	1827.6695	1.178	1827.6695	41.2519	4.3029	0.68	0.62
E68	1791.3797	0.4814	1791.3797	1051.1147	1.7831	0.88	0.83
E69	2099.8231	1.8583	2099.8231	-834.2082	7.0672	0.95	0.94
E7	2153.6913	1.7205	2153.6913	-604.4517	6.6435	0.96	0.98
E70	1692.0751	0.4958	1692.0751	906.506	1.8922	0.95	0.94
E71	1713.0666	0.445	1713.0666	1004.0127	1.7079	0.93	0.94
E72	1802.4293	0.8663	1802.4293	454.9144	3.2457	0.91	0.88
E73	1969.9298	0.8624	1969.9298	631.0284	3.225	0.92	0.88
E74	2337.7773	2.018	2337.7773	-928.0409	7.8664	0.86	0.89
E75	2026.414	1.6235	2026.414	-570.5767	6.2554	0.97	0.98
E76	2054.0977	1.3916	2054.0977	-121.0217	5.2392	0.94	0.91
E77	1947.7239	1.4164	1947.7239	-308.5464	5.4347	0.98	0.99
E78	1795.839	0.7039	1795.839	694.0735	2.6538	0.98	0.95
E79	1852.7296	0.8078	1852.7296	580.1814	3.0652	0.98	0.97
E8	1955.5682	1.1912	1955.5682	66.1241	4.5511	0.96	0.96
E80	1929.8715	1.3654	1929.8715	-262.176	5.28	0.94	0.96
E81	1855.8828	0.9226	1855.8828	399.9446	3.5069	0.94	0.93
E82	1850.6788	0.724	1850.6788	716.2338	2.7325	0.89	0.87
E83	1692.5215	0.5901	1692.5215	763.4039	2.238	0.97	0.96
E84	1725.7737	0.7719	1725.7737	517.7147	2.9098	0.9	0.87
E85	1918.2038	1.2626	1918.2038	-101.6712	4.8653	0.95	0.96
E86	1991.2151	0.9746	1991.2151	472.7277	3.6576	0.95	0.91
E87	1982.5239	0.9273	1982.5239	516.3143	3.5316	0.98	0.97
E88	1971.6513	0.9426	1971.6513	475.6173	3.6035	0.98	0.98
E89	2139.6896	1.5714	2139.6896	-371.7244	6.0492	0.95	0.96
E9	1865.6694	0.5879	1865.6694	930.5483	2.2524	0.98	0.99
E90	2180.5324	1.6891	2180.5324	-530.7674	6.5307	0.94	0.96
E91	1820.7527	0.9899	1820.7527	262.4072	3.7536	0.99	0.98
E92	1970.0986	0.7467	1970.0986	794.6509	2.8313	0.95	0.94
E93	1984.5198	0.9215	1984.5198	540.8434	3.4774	0.94	0.92
E94	1959.9493	1.0404	1959.9493	328.3409	3.93	0.98	0.95
E95	2117.7464	1.9159	2117.7464	-921.8754	7.3215	0.98	0.98
E96	1789.4688	0.9058	1789.4688	354.1109	3.4573	0.99	0.99
E97	1882.54	0.9746	1882.54	342.6696	3.7091	0.99	0.98
E98	1765.773	0.9914	1765.773	219.3041	3.725	0.96	0.92
E99	2032.6258	1.6494	2032.6258	-594.1358	6.3271	0.99	0.99
