line_code	env_code	Yprd	Yobs	Rep
E170	KS11	2705.711	2148.83	1
E175	KS11	2567.344	3294.92	1
E179	KS11	2277.235	1853.33	1
E18	KS11	2008.892	1823.09	1
E181	KS11	1985.056	1867.06	1
E182	KS11	2172.028	1803.12	1
E184	KS11	2151.613	1772.59	1
E186	KS11	2509.827	3055.81	1
E187	KS11	2256.438	2340.1851	1
E191	KS11	2208.641	3190.45	1
E196	KS11	2216	1801.77	1
E197	KS11	2163.315	1949.3	1
E201	KS11	2462.338	2751.35	1
E208	KS11	1856.006	1753.29	1
E210	KS11	2485.082	2370.9783	1
E211	KS11	2631.684	2462.17	1
E213	KS11	1861.785	1667.98	1
E215	KS11	2359.505	2176.41	1
E218	KS11	2550.347	2676.47	1
E220	KS11	2372.642	2160.46	1
E225	KS11	2170.315	2108.46	1
E226	KS11	2353.594	2066.75	1
E230	KS11	2091.414	1548.96	1
E245	KS11	2046.057	1788.19	1
E29	KS11	2105.507	1686.97	1
E43	KS11	2347.877	2672.33	1
E44	KS11	1912.904	2166.87	1
E46	KS11	2730.575	2636.79	1
E50	KS11	2688.262	2833.33	1
E62	KS11	2181.963	2094.65	1
E64	KS11	2708.678	2315.0187	1
E66	KS11	2729.584	1867.06	1
E70	KS11	2170.73	1863.07	1
E71	KS11	2015.83	1912.21	1
E77	KS11	2346.596	2526.2	1
E8	KS11	2282.937	2580.05	1
E86	KS11	2504.059	2359.8909	1
E87	KS11	2279.796	2400.49	1
E90	KS11	2761.811	2966.88	1
E99	KS11	2781.717	2823.45	1
E100	KS12	2383.557	2229.57	1
E106	KS12	2339.267	2815.32	1
E108	KS12	2487.126	2356.8076	1
E114	KS12	1952.414	2217.47	1
E116	KS12	3035.53	3317.58	1
E118	KS12	2265.564	1871.34	1
E12	KS12	2737.623	2979.69	1
E123	KS12	2469.051	2578.72	1
E124	KS12	2082.408	2092.38	1
E125	KS12	2282.781	2420.8492	1
E128	KS12	3036.66	3075.11	1
E14	KS12	2233.54	2417.6846	1
E141	KS12	2261.529	2216.52	1
E144	KS12	2328.83	2174.51	1
E154	KS12	2896.428	2831.96	1
E157	KS12	2316.213	2073.08	1
E159	KS12	2439.276	3215.17	1
E16	KS12	2523.23	1963.74	1
E167	KS12	2331.383	2240.42	1
E170	KS12	2859.931	2948.98	1
E175	KS12	2704.722	3317.58	1
E179	KS12	2364.551	1963.74	1
E18	KS12	2070.7	1911.92	1
E181	KS12	2044.193	2052.08	1
E182	KS12	2254.956	1904.31	1
E184	KS12	2235.086	1919.48	1
E186	KS12	2641.128	2916.61	1
E187	KS12	2351.439	2631.87	1
E191	KS12	2304.569	3117.87	1
E196	KS12	2307.267	1945.55	1
E197	KS12	2248.478	2144.29	1
E201	KS12	2590.586	2990.34	1
E208	KS12	1902.634	2076.19	1
E210	KS12	2608.479	2580.29	1
E211	KS12	2780.208	2782.39	1
E213	KS12	1905.879	1752.7	1
E215	KS12	2455.378	2841.63	1
E218	KS12	2687.888	2862.93	1
E220	KS12	2483.804	2334.95	1
E225	KS12	2258.83	2534.6795	1
E226	KS12	2449.849	2441.4073	1
E230	KS12	2169.518	1932.05	1
E245	KS12	2124.516	1963.74	1
E29	KS12	2186.091	1911.92	1
E43	KS12	2465.497	2893.85	1
E44	KS12	1959.287	2344.61	1
E46	KS12	2893.542	2782.63	1
E50	KS12	2840.929	2755.62	1
E62	KS12	2270.832	2240.42	1
E64	KS12	2878.349	2531.37	1
E66	KS12	2896.067	2965.19	1
E70	KS12	2257.174	1977.2	1
E71	KS12	2079.192	1945.28	1
E77	KS12	2459.802	2722.21	1
E8	KS12	2376.848	2568.77	1
E86	KS12	2621.706	2628.07	1
E87	KS12	2365.885	2491.6308	1
E90	KS12	2915.404	2971.67	1
E99	KS12	2953.351	2898.15	1
E104	PR12	1490.586	1502.5346	1
E107	PR12	1531.538	1544.0694	1
E121	PR12	1502.571	1459.9614	1
E129	PR12	1527.133	1501.4962	1
E13	PR12	1550.93	1565.5291	1
E133	PR12	1473.833	1449.9238	1
E135	PR12	1521.012	1502.5346	1
E137	PR12	1418.339	1448.5393	1
E139	PR12	1552.282	1501.4962	1
E140	PR12	1543.854	1585.2582	1
E142	PR12	1467.536	1565.5291	1
E146	PR12	1563.325	1481.7672	1
E147	PR12	1654.615	1647.91	1
E15	PR12	1458.766	1491.1125	1
E150	PR12	1486.197	1533.3396	1
E151	PR12	1546.364	1481.7672	1
E153	PR12	1506.863	1480.7288	1
E156	PR12	1501.54	1448.5393	1
E158	PR12	1489.392	1554.4531	1
E163	PR12	1509.438	1502.5346	1
E165	PR12	1495.595	1502.5346	1
E17	PR12	1582.013	1544.0694	1
E172	PR12	1625.02	1595.988	1
E176	PR12	1526.671	1502.5346	1
E178	PR12	1569.471	1502.5346	1
E185	PR12	1478.638	1470.3451	1
E188	PR12	1611.769	1595.6419	1
E192	PR12	1483.438	1492.1509	1
E193	PR12	1554.086	1523.302	1
E195	PR12	1538.043	1480.7288	1
E20	PR12	1454.7	1448.5393	1
E204	PR12	1541.823	1512.9183	1
E206	PR12	1489.994	1470.3451	1
E207	PR12	1493.909	1492.1509	1
E219	PR12	1496.438	1544.0694	1
E223	PR12	1560.734	1575.2206	1
E227	PR12	1530.443	1512.9183	1
E229	PR12	1588.833	1617.45	1
E231	PR12	1525.115	1502.5346	1
E232	PR12	1578.54	1439.5401	1
E238	PR12	1537.221	1533.6857	1
E239	PR12	1595.407	1492.1509	1
E244	PR12	1508.6	1449.9238	1
E25	PR12	1593.797	1543.7233	1
E27	PR12	1425.644	1448.5393	1
E30	PR12	1503.053	1523.302	1
E34	PR12	1458.149	1438.5017	1
E42	PR12	1493.525	1585.5496	1
E47	PR12	1494.089	1502.5346	1
E55	PR12	1588.249	1533.3396	1
E56	PR12	1586.061	1554.107	1
E58	PR12	1616.786	1523.302	1
E6	PR12	1592.034	1575.2206	1
E63	PR12	1451.138	1460.3075	1
E68	PR12	1604.926	1575.2206	1
E75	PR12	1490.132	1502.5346	1
E76	PR12	1547.777	1554.107	1
E91	PR12	1501.635	1459.9614	1
E94	PR12	1458.884	1564.8369	1
E104	IA14	1501.921	1525.499	1
E107	IA14	1537.195	1681.86	1
E121	IA14	1509.728	1474.177	1
E129	IA14	1532.178	1581.1378	1
E13	IA14	1557.967	1565.3095	1
E133	IA14	1483.605	1474.177	1
E135	IA14	1524.284	1426.45	1
E137	IA14	1426.768	1405.35	1
E139	IA14	1556.711	1525.499	1
E140	IA14	1547.647	1565.3095	1
E142	IA14	1471.225	1538.6892	1
E146	IA14	1567.691	1623.3466	1
E147	IA14	1658.589	1654.52	1
E15	IA14	1464.813	1450.9142	1
E150	IA14	1496.309	1608.9573	1
E151	IA14	1551.776	1538.6892	1
E153	IA14	1514.537	1672.75	1
E156	IA14	1511.489	1414.22	1
E158	IA14	1495.434	1594.5679	1
E163	IA14	1511.304	1525.499	1
E165	IA14	1500.795	1594.5679	1
E17	IA14	1589.53	1786.67	1
E172	IA14	1628.317	1566.7485	1
E176	IA14	1532.666	1594.5679	1
E178	IA14	1573.698	1538.9291	1
E185	IA14	1483.262	1512.0689	1
E188	IA14	1615.052	1579.9387	1
E192	IA14	1489.552	1565.3095	1
E193	IA14	1557.721	1623.3466	1
E195	IA14	1542.325	1565.3095	1
E20	IA14	1461.28	1463.1451	1
E204	IA14	1547.225	1565.3095	1
E206	IA14	1494.483	1538.6892	1
E207	IA14	1498.493	1474.177	1
E219	IA14	1501.906	1552.1193	1
E223	IA14	1564.291	1474.177	1
E227	IA14	1533.338	1485.2088	1
E229	IA14	1593.618	1654.52	1
E231	IA14	1532.566	1819.28	1
E232	IA14	1585.328	1672.75	1
E238	IA14	1543.497	1634.3785	1
E239	IA14	1603.124	1579.9387	1
E244	IA14	1514.961	1512.0689	1
E25	IA14	1595.638	1552.1193	1
