env_code	pop_code	line_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
PR12	1	E147	1678.969	1693.223	1647.91	1869.125
PR14S	1	E147	1860.385	1880.011	1880.8147	1830.307
IA13	1	E148	1676.81	1683.022	1752	1692.116
IA14	1	E148	1506.454	1492.694	1463.1451	1740.259
KS11	1	E148	1979.169	2008.494	1912.21	1665.415
KS12	1	E148	2077.931	2028.87	2050.13	1642.428
PR11	1	E148	1514.278	1481.813	1454.44	1741.71
PR12	1	E148	1466.089	1484.414	1471.3834	1738.886
PR14S	1	E148	1725.378	1752.842	1801.39	1683.885
IA13	1	E149	1640.315	1645.044	1736.77	1651.731
IA14	1	E149	1523.647	1516.649	1475.3761	1695.296
KS11	1	E149	1855.694	1871.508	1851.62	1632.589
KS12	1	E149	1918.013	1880.182	1947.22	1616.656
PR11	1	E149	1514.101	1491.355	1511.3369	1689.303
PR12	1	E149	1476.127	1493.968	1523.302	1687.309
PR14S	1	E149	1705.871	1726.876	1601.53	1674.271
IA13	1	E15	1751.817	1761.494	1925.1016	1774.981
IA14	1	E15	1498.037	1485.803	1450.9142	1854.012
KS11	1	E15	2263.926	2300.959	2024.54	1758.408
KS12	1	E15	2203.183	2141.397	2466.966	1684.67
PR11	1	E15	1500.271	1458.358	1464.7108	1851.712
PR12	1	E15	1423.966	1462.291	1491.1125	1847.312
PR14S	1	E15	1867.619	1908.855	1751.64	1803.891
IA13	1	E150	2109.941	2127.287	2078.05	2152.122
IA14	1	E150	1558.804	1526.67	1608.9573	2230.304
KS11	1	E150	2832.085	2891.752	2882.33	2018.076
KS12	1	E150	3119.475	2977.635	3164.73	1971.009
PR11	1	E150	1586.884	1500.08	1569.8172	2236.828
PR12	1	E150	1481.616	1542.144	1533.3396	2242.907
PR14S	1	E150	2255.665	2332.026	2153.56	2139.537
IA13	1	E151	1720.047	1726.045	1757.38	1734.738
IA14	1	E151	1540.623	1528.123	1538.6892	1771.186
KS11	1	E151	1990.563	2015.077	1970.86	1699.158
KS12	1	E151	2109.212	2057.424	2066.31	1683.249
PR11	1	E151	1546.54	1514.828	1535.4403	1771.728
PR12	1	E151	1528.19	1545.835	1481.7672	1780.673
PR14S	1	E151	1765.057	1791.312	1815.36	1725.074
IA13	1	E152	2026.445	2039.729	2097.08	2058.265
IA14	1	E152	1590.068	1569.891	1757.65	2114.837
KS11	1	E152	2666.747	2712.429	2459.06	1997.935
KS12	1	E152	2671.336	2576.145	2946.78	1916.648
PR11	1	E152	1656.043	1598.821	1605.7746	2140.149
PR12	1	E152	1598.45	1647.542	1533.6857	2152.164
PR14S	1	E152	2154.255	2210.564	2046.64	2066.672
IA13	1	E153	2150.468	2167.52	2138.96	2192.506
IA14	1	E153	1597.457	1557.157	1672.75	2270.208
KS11	1	E153	2856.712	2925.527	2954.55	2056.575
KS12	1	E153	3306.618	3153.894	3075.59	2036.401
PR11	1	E153	1653.398	1561.888	1556.47	2289.588
PR12	1	E153	1570.344	1618.833	1480.7288	2302.212
PR14S	1	E153	2261.065	2336.982	2414.95	2146.508
IA13	1	E154	1952.442	1967.274	2037.96	1988.756
IA14	1	E154	1513.194	1482.788	1488.8061	2080.282
KS11	1	E154	2610.115	2669.312	2591.3	1896.533
KS12	1	E154	2885.462	2762.473	2831.96	1856.423
PR11	1	E154	1533.2	1456.706	1465.501	2084.166
PR12	1	E154	1439.485	1486.576	1448.5393	2086.993
PR14S	1	E154	2076.608	2142.213	2106.43	1977.344
IA13	1	E156	1851.179	1863.156	1845.6053	1880.59
IA14	1	E156	1502.62	1478.265	1414.22	1952.487
KS11	1	E156	2366.668	2415.005	2372.7589	1792.731
KS12	1	E156	2608.3	2508.145	2544.1493	1764.166
PR11	1	E156	1484.219	1418.715	1490.3947	1939.791
PR12	1	E156	1417.006	1455.021	1448.5393	1946.767
PR14S	1	E156	1932.873	1985.832	2013.4757	1852.611
IA13	1	E157	1827.059	1837.472	1757.38	1853.605
IA14	1	E157	1460.071	1422.633	1538.6892	1890.053
KS11	1	E157	2005.629	2035.871	2834.42	1674.098
KS12	1	E157	2927.352	2782.575	2073.08	1800.988
PR11	1	E157	1507.453	1437.923	1432.31	1907.783
PR12	1	E157	1445.533	1464.971	1407.7	1911.885
PR14S	1	E157	1913.822	1965.889	1835.4307	1840.597
IA13	1	E158	1782.62	1787.636	1857.81	1794.444
IA14	1	E158	1663.021	1660.078	1594.5679	1838.318
KS11	1	E158	2067.591	2085.713	1870.43	1792.341
KS12	1	E158	2001.33	1966.085	2154.68	1744.966
PR11	1	E158	1613.908	1589.11	1740.52	1813.992
PR12	1	E158	1653.994	1672.662	1554.4531	1845.004
PR14S	1	E158	1827.589	1847.39	1852.0133	1795.41
IA13	1	E159	2244.585	2261.125	2137.84	2285.9
IA14	1	E159	1656.91	1608.666	1841.59	2335.275
KS11	1	E159	3101.164	3198.557	2678.79	2195.742
KS12	1	E159	3284.153	3164.885	3215.17	2106.345
PR11	1	E159	1810.629	1724.379	1454.83	2399.735
PR12	1	E159	1694.84	1732.565	1492.1509	2393.515
PR14S	1	E159	2246.634	2317.954	3032.87	2136.728
IA13	1	E16	1707.807	1711.967	1721.85	1718.125
IA14	1	E16	1608.493	1599.733	1501.0371	1754.928
KS11	1	E16	1921.218	1943.715	1833.3	1699.55
KS12	1	E16	1963.202	1933.634	1963.74	1677.81
PR11	1	E16	1583.638	1559.462	1577.6019	1742.167
PR12	1	E16	1550.319	1562.81	1586.2965	1740.718
PR14S	1	E16	1725.021	1743.193	1846.7767	1697.304
IA13	1	E160	1764.832	1772.831	1874.2688	1784.221
IA14	1	E160	1520.408	1505.355	1579.9387	1833.276
KS11	1	E160	2142.531	2172.83	2078.98	1750.103
KS12	1	E160	2243.284	2178.095	2267.01	1718.765
PR11	1	E160	1555.279	1517.759	1501.4585	1846.356
