Para	Day_x	Day_y	midXY	R	P
DTR	15	63	39	-0.4865	5.3233
GDD	4	74	39	-0.6397	9.7736
dGDD	1	77	39	0.4113	3.8228
PR	20	58	39	0.2594	1.6961
PRDTR	20	58	39	0.2928	2.0754
DTR	20	59	39.5	-0.4905	5.4143
GDD	5	74	39.5	-0.6393	9.758
dGDD	1	78	39.5	0.4246	4.0628
PR	20	59	39.5	0.2694	1.8051
PRDTR	20	59	39.5	0.3033	2.2053
DTR	26	54	40	-0.4928	5.4657
GDD	5	75	40	-0.638	9.7104
dGDD	1	79	40	0.4334	4.2271
PR	20	60	40	0.2753	1.8715
PRDTR	20	60	40	0.3115	2.3082
DTR	26	55	40.5	-0.5076	5.8123
GDD	5	76	40.5	-0.6375	9.6905
dGDD	1	80	40.5	0.4458	4.4674
PR	20	61	40.5	0.2845	1.9775
PRDTR	20	61	40.5	0.3212	2.4348
DTR	26	56	41	-0.5115	5.9052
GDD	5	77	41	-0.6357	9.6248
dGDD	2	80	41	0.4458	4.4674
PR	20	62	41	0.298	2.1396
PRDTR	20	62	41	0.3301	2.5548
DTR	27	56	41.5	-0.5135	5.9534
GDD	7	76	41.5	-0.6342	9.5712
dGDD	3	80	41.5	0.4469	4.4897
PR	20	63	41.5	0.3124	2.3206
PRDTR	20	63	41.5	0.3439	2.7476
DTR	29	55	42	-0.5139	5.9654
GDD	7	77	42	-0.6324	9.5032
dGDD	4	80	42	0.449	4.5299
PR	20	64	42	0.3224	2.4512
PRDTR	20	64	42	0.351	2.8507
DTR	29	56	42.5	-0.5171	6.0422
GDD	5	80	42.5	-0.6315	9.4712
dGDD	4	81	42.5	0.449	4.5303
PR	20	65	42.5	0.3308	2.5645
PRDTR	20	65	42.5	0.3609	2.998
DTR	30	56	43	-0.5148	5.9873
GDD	6	80	43	-0.6294	9.3949
dGDD	6	80	43	0.4504	4.559
PR	22	64	43	0.3338	2.6055
PRDTR	21	65	43	0.366	3.0755
DTR	26	61	43.5	-0.5126	5.9317
GDD	7	80	43.5	-0.6279	9.3433
dGDD	6	81	43.5	0.4505	4.5599
PR	22	65	43.5	0.3431	2.7363
PRDTR	22	65	43.5	0.371	3.1517
DTR	26	62	44	-0.5165	6.0291
GDD	8	80	44	-0.625	9.2386
dGDD	1	87	44	0.4506	4.5616
PR	23	65	44	0.3446	2.7571
PRDTR	29	59	44	0.3743	3.2032
DTR	27	62	44.5	-0.5182	6.0702
GDD	15	74	44.5	-0.6237	9.1921
dGDD	6	83	44.5	0.4512	4.5745
PR	24	65	44.5	0.3492	2.8237
PRDTR	29	60	44.5	0.3821	3.3283
DTR	28	62	45	-0.5201	6.117
GDD	15	75	45	-0.6221	9.1353
dGDD	3	87	45	0.4523	4.5959
PR	25	65	45	0.3516	2.8584
PRDTR	29	61	45	0.39	3.4575
DTR	29	62	45.5	-0.5235	6.2022
GDD	20	71	45.5	-0.6228	9.1626
dGDD	11	80	45.5	0.4585	4.7222
PR	39	52	45.5	0.3624	3.0199
PRDTR	29	62	45.5	0.3973	3.5805
DTR	29	63	46	-0.5247	6.234
GDD	21	71	46	-0.6237	9.1925
dGDD	12	80	46	0.459	4.7332
PR	39	53	46	0.3848	3.3722
PRDTR	29	63	46	0.411	3.816
DTR	29	64	46.5	-0.5258	6.2619
GDD	21	72	46.5	-0.6241	9.2079
dGDD	13	80	46.5	0.4681	4.9218
PR	39	54	46.5	0.393	3.507
PRDTR	29	64	46.5	0.4204	3.9848
DTR	39	55	47	-0.5302	6.3735
GDD	30	64	47	-0.6289	9.3771
dGDD	14	80	47	0.4687	4.9362
PR	39	55	47	0.4021	3.6615
PRDTR	29	65	47	0.4311	4.1843
DTR	40	55	47.5	-0.5436	6.7263
GDD	31	64	47.5	-0.6336	9.5494
dGDD	15	80	47.5	0.4755	5.0811
PR	30	65	47.5	0.4018	3.6566
PRDTR	29	66	47.5	0.4298	4.1599
DTR	41	55	48	-0.5496	6.8892
GDD	31	65	48	-0.6377	9.6981
dGDD	15	81	48	0.4753	5.0774
PR	39	57	48	0.4096	3.7924
PRDTR	31	65	48	0.4307	4.1754
DTR	41	56	48.5	-0.5503	6.9087
GDD	32	65	48.5	-0.6405	9.8031
dGDD	15	82	48.5	0.4719	5.003
PR	39	58	48.5	0.4207	3.9912
PRDTR	32	65	48.5	0.4323	4.2055
DTR	41	57	49	-0.5393	6.6115
GDD	31	67	49	-0.6441	9.9398
dGDD	19	79	49	0.4781	5.1367
PR	39	59	49	0.4243	4.0575
PRDTR	33	65	49	0.4309	4.1802
DTR	41	58	49.5	-0.528	6.3171
GDD	32	67	49.5	-0.6473	10.0625
dGDD	19	80	49.5	0.4897	5.3963
PR	39	60	49.5	0.4277	4.1206
PRDTR	39	60	49.5	0.436	4.2775
DTR	40	60	50	-0.5294	6.3515
GDD	32	68	50	-0.6505	10.1837
dGDD	20	80	50	0.4938	5.4892
PR	36	64	50	0.438	4.3151
PRDTR	36	64	50	0.4407	4.3679
DTR	41	60	50.5	-0.5315	6.4066
GDD	33	68	50.5	-0.652	10.2421
dGDD	21	80	50.5	0.4946	5.5066
PR	39	62	50.5	0.4447	4.4446
PRDTR	36	65	50.5	0.4494	4.5376
DTR	40	62	51	-0.5339	6.4682
GDD	31	71	51	-0.6511	10.2062
dGDD	22	80	51	0.501	5.6566
PR	39	63	51	0.4595	4.7432
PRDTR	39	63	51	0.4603	4.7601
DTR	41	62	51.5	-0.5352	6.5019
GDD	32	71	51.5	-0.6545	10.3409
dGDD	23	80	51.5	0.5032	5.7074
PR	39	64	51.5	0.4711	4.9874
PRDTR	39	64	51.5	0.4688	4.9376
DTR	41	63	52	-0.5346	6.4876
GDD	33	71	52	-0.6563	10.4119
dGDD	24	80	52	0.5057	5.7667
PR	39	65	52	0.4767	5.1064
PRDTR	39	65	52	0.4763	5.0972
DTR	41	64	52.5	-0.5336	6.4606
GDD	33	72	52.5	-0.6573	10.453
dGDD	25	80	52.5	0.5089	5.8423
PR	39	66	52.5	0.4726	5.0192
PRDTR	39	66	52.5	0.4726	5.019
DTR	41	65	53	-0.5307	6.3863
GDD	33	73	53	-0.6576	10.4656
dGDD	26	80	53	0.5198	6.11
PR	41	65	53	0.4635	4.8264
PRDTR	39	67	53	0.4608	4.7696
DTR	42	65	53.5	-0.5208	6.1353
GDD	33	74	53.5	-0.6577	10.4669
dGDD	27	80	53.5	0.5229	6.1862
PR	41	66	53.5	0.4593	4.7393
PRDTR	41	66	53.5	0.4546	4.6426
DTR	41	67	54	-0.5112	5.8992
GDD	34	74	54	-0.6554	10.3748
dGDD	27	81	54	0.5218	6.1608
PR	42	66	54	0.4531	4.6127
PRDTR	42	66	54	0.448	4.5101
DTR	41	68	54.5	-0.5063	5.7804
GDD	36	73	54.5	-0.6543	10.3339
dGDD	29	80	54.5	0.5276	6.3062
PR	43	66	54.5	0.4428	4.4083
PRDTR	39	70	54.5	0.4424	4.3998
DTR	42	68	55	-0.4944	5.5022
GDD	36	74	55	-0.6545	10.3397
dGDD	29	81	55	0.5269	6.2884
PR	39	71	55	0.4384	4.3236
PRDTR	39	71	55	0.4423	4.398
DTR	41	70	55.5	-0.486	5.313
GDD	37	74	55.5	-0.6521	10.2466
dGDD	31	80	55.5	0.5285	6.3289
PR	39	72	55.5	0.44	4.3542
PRDTR	39	72	55.5	0.4435	4.4219
DTR	40	72	56	-0.4829	5.2427
GDD	44	68	56	-0.6527	10.2694
dGDD	32	80	56	0.5314	6.4034
PR	39	73	56	0.434	4.2382
PRDTR	39	73	56	0.4393	4.3398
DTR	41	72	56.5	-0.4792	5.1613
GDD	45	68	56.5	-0.6502	10.1718
dGDD	33	80	56.5	0.54	6.6293
PR	39	74	56.5	0.4294	4.151
PRDTR	39	74	56.5	0.436	4.2771
DTR	42	72	57	-0.4647	4.8515
GDD	43	71	57	-0.6507	10.1939
dGDD	34	80	57	0.5391	6.6045
PR	39	75	57	0.4264	4.0957
PRDTR	39	75	57	0.4343	4.2448
DTR	43	72	57.5	-0.4477	4.5039
GDD	44	71	57.5	-0.6524	10.259
dGDD	35	80	57.5	0.5473	6.8261
PR	39	76	57.5	0.4179	3.9399
PRDTR	39	76	57.5	0.4269	4.1044
DTR	44	72	58	-0.4302	4.1668
GDD	44	72	58	-0.6519	10.2404
dGDD	36	80	58	0.5576	7.1118
PR	41	75	58	0.4088	3.7774
PRDTR	41	75	58	0.4151	3.889
DTR	45	72	58.5	-0.4183	3.9482
GDD	44	73	58.5	-0.6513	10.2153
dGDD	36	81	58.5	0.5551	7.0405
PR	52	65	58.5	0.4061	3.7316
PRDTR	41	76	58.5	0.4075	3.7555
DTR	46	72	59	-0.4072	3.7508
GDD	44	74	59	-0.65	10.1662
dGDD	36	82	59	0.5474	6.8279
PR	52	66	59	0.3956	3.5516
PRDTR	42	76	59	0.3995	3.6165
DTR	47	72	59.5	-0.3955	3.5493
GDD	48	71	59.5	-0.6498	10.1574
dGDD	36	83	59.5	0.547	6.8176
PR	43	76	59.5	0.381	3.3109
PRDTR	43	76	59.5	0.3884	3.4305
DTR	48	72	60	-0.3882	3.427
GDD	48	72	60	-0.6486	10.1124
dGDD	40	80	60	0.5477	6.8367
PR	48	72	60	0.3691	3.122
PRDTR	48	72	60	0.3697	3.132
DTR	49	72	60.5	-0.3648	3.057
GDD	48	73	60.5	-0.6475	10.0701
dGDD	41	80	60.5	0.552	6.9531
PR	49	72	60.5	0.3615	3.0061
PRDTR	48	73	60.5	0.3636	3.0386
DTR	50	72	61	-0.345	2.7635
GDD	48	74	61	-0.6459	10.0078
dGDD	43	79	61	0.5517	6.946
PR	50	72	61	0.3573	2.9426
PRDTR	47	75	61	0.3613	3.0036
DTR	52	71	61.5	-0.3296	2.5479
GDD	52	71	61.5	-0.6463	10.0238
dGDD	43	80	61.5	0.5632	7.2687
PR	48	75	61.5	0.3529	2.8785
PRDTR	48	75	61.5	0.3586	2.9628
DTR	52	72	62	-0.3253	2.4896
GDD	53	71	62	-0.645	9.9747
dGDD	44	80	62	0.5701	7.4693
PR	52	72	62	0.3454	2.7695
PRDTR	49	75	62	0.3512	2.853
